texto,sentimento
super material resistente,1
realmente produto incrível,1
bastante péssima experiência,0
muito atendimento excelente,1
Dinheiro jogado fora,0
muito produto incrível,1
Superou minhas expectativas,1
Dinheiro jogado fora,0
Funcionou perfeitamente,1
extremamente produto quebrado,0
bastante valeu cada centavo,1
Experiência fantástica,1
Material frágil,0
Dinheiro jogado fora,0
Ótima compra,1
Pior compra que fiz,0
extremamente muito decepcionado,0
realmente não vale o preço,0
Produto decepcionante,0
muito produto incrível,1
Material resistente,1
bastante não vale o preço,0
Ótima compra,1
realmente chegou danificado,0
realmente produto de ótima qualidade,1
Material resistente,1
Excelente custo benefício,1
Produto de ótima qualidade,1
Experiência fantástica,1
bastante não recomendo,0
extremamente veio com defeito,0
terrivelmente terrível qualidade,0
Chegou danificado,0
extremamente produto de ótima qualidade,1
Gostei muito do produto,1
Produto decepcionante,0
bastante superou minhas expectativas,1
muito superou minhas expectativas,1
Excelente qualidade,1
Entrega rápida,1
terrivelmente qualidade muito baixa,0
Compra excelente,1
Qualidade muito baixa,0
extremamente muito decepcionado,0
Material frágil,0
Ótima compra,1
Pior compra que fiz,0
Experiência fantástica,1
extremamente muito satisfeito,1
terrivelmente não recomendo,0
muito produto sensacional,1
realmente atendimento péssimo,0
muito produto de ótima qualidade,1
muito experiência frustrante,0
Péssima experiência,0
Pior compra que fiz,0
realmente funcionou perfeitamente,1
muito entrega rápida,1
Muito satisfeito,1
Compra excelente,1
terrivelmente produto quebrado,0
realmente material frágil,0
extremamente produto maravilhoso,1
Material frágil,0
extremamente pior compra que fiz,0
Chegou danificado,0
Péssima experiência,0
Muito insatisfeito,0
Não recomendo,0
Muito decepcionado,0
Não vale o preço,0
Produto não funciona,0
terrivelmente produto não funciona,0
bastante experiência frustrante,0
muito produto de ótima qualidade,1
Recomendo para todos,1
terrivelmente produto decepcionante,0
Produto sensacional,1
bastante superou minhas expectativas,1
Experiência fantástica,1
realmente material frágil,0
Gostei muito do produto,1
Superou minhas expectativas,1
bastante atendimento péssimo,0
Muito insatisfeito,0
muito valeu cada centavo,1
Atendimento excelente,1
super atendimento excelente,1
Muito insatisfeito,0
muito chegou danificado,0
Dinheiro jogado fora,0
extremamente entrega rápida,1
Produto ruim,0
Experiência fantástica,1
muito funcionou perfeitamente,1
Chegou em perfeito estado,1
muito excelente custo benefício,1
extremamente muito decepcionado,0
Excelente qualidade,1
Chegou danificado,0
realmente muito decepcionado,0
muito valeu cada centavo,1
muito atendimento péssimo,0
Chegou danificado,0
terrivelmente produto ruim,0
muito terrível qualidade,0
Material resistente,1
super compra excelente,1
Veio com defeito,0
terrivelmente produto ruim,0
Produto quebrado,0
Experiência frustrante,0
extremamente muito insatisfeito,0
realmente atendimento excelente,1
bastante não vale o preço,0
bastante dinheiro jogado fora,0
Valeu cada centavo,1
Entrega atrasada,0
Atendimento excelente,1
bastante excelente custo benefício,1
terrivelmente atendimento péssimo,0
muito atendimento muito educado,1
realmente atendimento horrível,0
Valeu cada centavo,1
bastante experiência fantástica,1
Produto de ótima qualidade,1
Compra excelente,1
extremamente muito decepcionado,0
extremamente recomendo para todos,1
Produto sensacional,1
Material resistente,1
realmente atendimento excelente,1
super chegou em perfeito estado,1
realmente produto de ótima qualidade,1
super excelente custo benefício,1
Entrega rápida,1
bastante atendimento horrível,0
realmente dinheiro jogado fora,0
Veio com defeito,0
Produto ruim,0
Chegou danificado,0
Muito insatisfeito,0
Produto não funciona,0
Chegou em perfeito estado,1
Muito insatisfeito,0
Atendimento horrível,0
Produto quebrado,0
muito não vale o preço,0
muito produto não funciona,0
Experiência frustrante,0
Pior compra que fiz,0
Entrega rápida,1
Atendimento horrível,0
Atendimento excelente,1
Excelente custo benefício,1
Dinheiro jogado fora,0
extremamente superou minhas expectativas,1
Chegou danificado,0
Atendimento excelente,1
Superou minhas expectativas,1
realmente muito satisfeito,1
Recomendo para todos,1
Atendimento excelente,1
Produto de ótima qualidade,1
bastante material resistente,1
bastante não vale o preço,0
Atendimento horrível,0
super gostei muito do produto,1
bastante excelente qualidade,1
bastante chegou danificado,0
realmente entrega rápida,1
realmente produto decepcionante,0
muito produto de ótima qualidade,1
Experiência frustrante,0
Entrega atrasada,0
bastante muito decepcionado,0
bastante muito insatisfeito,0
Funcionou perfeitamente,1
extremamente entrega atrasada,0
Recomendo para todos,1
extremamente atendimento péssimo,0
Produto maravilhoso,1
Excelente custo benefício,1
extremamente chegou em perfeito estado,1
Produto de ótima qualidade,1
bastante muito insatisfeito,0
bastante não recomendo,0
bastante recomendo para todos,1
Entrega atrasada,0
Pior compra que fiz,0
Não recomendo,0
bastante muito decepcionado,0
terrivelmente veio com defeito,0
muito gostei muito do produto,1
terrivelmente atendimento péssimo,0
muito material frágil,0
bastante entrega rápida,1
extremamente produto decepcionante,0
Chegou em perfeito estado,1
super excelente custo benefício,1
Produto sensacional,1
realmente valeu cada centavo,1
Veio com defeito,0
Experiência fantástica,1
super produto incrível,1
Atendimento horrível,0
Chegou em perfeito estado,1
bastante produto incrível,1
realmente dinheiro jogado fora,0
realmente produto incrível,1
muito excelente qualidade,1
extremamente dinheiro jogado fora,0
Gostei muito do produto,1
realmente produto decepcionante,0
Produto incrível,1
realmente atendimento muito educado,1
realmente experiência fantástica,1
Material resistente,1
Muito satisfeito,1
Atendimento muito educado,1
Entrega atrasada,0
muito terrível qualidade,0
bastante material frágil,0
terrivelmente atendimento péssimo,0
Superou minhas expectativas,1
Entrega rápida,1
realmente atendimento péssimo,0
Muito satisfeito,1
bastante muito satisfeito,1
muito material frágil,0
Entrega atrasada,0
bastante produto não funciona,0
Produto maravilhoso,1
extremamente chegou em perfeito estado,1
Entrega atrasada,0
Muito satisfeito,1
Material frágil,0
extremamente muito insatisfeito,0
Superou minhas expectativas,1
muito experiência fantástica,1
Ótima compra,1
Superou minhas expectativas,1
extremamente terrível qualidade,0
extremamente péssima experiência,0
bastante péssima experiência,0
Terrível qualidade,0
extremamente péssima experiência,0
Terrível qualidade,0
muito produto sensacional,1
Péssima experiência,0
bastante veio com defeito,0
Qualidade muito baixa,0
Ótima compra,1
muito entrega atrasada,0
Ótima compra,1
realmente péssima experiência,0
extremamente atendimento muito educado,1
Experiência frustrante,0
extremamente não recomendo,0
Veio com defeito,0
Experiência fantástica,1
extremamente muito insatisfeito,0
bastante produto não funciona,0
terrivelmente terrível qualidade,0
extremamente muito satisfeito,1
Ótima compra,1
bastante produto sensacional,1
muito terrível qualidade,0
bastante qualidade muito baixa,0
Chegou em perfeito estado,1
Muito insatisfeito,0
Material frágil,0
extremamente atendimento péssimo,0
realmente excelente custo benefício,1
bastante compra excelente,1
Pior compra que fiz,0
Compra excelente,1
extremamente ótima compra,1
terrivelmente pior compra que fiz,0
bastante atendimento horrível,0
muito funcionou perfeitamente,1
super atendimento muito educado,1
super produto de ótima qualidade,1
Valeu cada centavo,1
Chegou danificado,0
muito qualidade muito baixa,0
Veio com defeito,0
muito muito decepcionado,0
Produto quebrado,0
Funcionou perfeitamente,1
Qualidade muito baixa,0
Produto quebrado,0
Muito satisfeito,1
muito atendimento excelente,1
Entrega atrasada,0
realmente muito satisfeito,1
realmente atendimento excelente,1
Atendimento muito educado,1
extremamente terrível qualidade,0
extremamente muito decepcionado,0
Chegou danificado,0
Produto incrível,1
bastante não recomendo,0
realmente produto sensacional,1
Produto de ótima qualidade,1
Entrega rápida,1
Excelente custo benefício,1
Produto ruim,0
Atendimento horrível,0
super gostei muito do produto,1
Excelente qualidade,1
Dinheiro jogado fora,0
Chegou em perfeito estado,1
Material resistente,1
extremamente produto quebrado,0
Não recomendo,0
Dinheiro jogado fora,0
Péssima experiência,0
Experiência fantástica,1
Excelente custo benefício,1
Recomendo para todos,1
Compra excelente,1
bastante pior compra que fiz,0
super material resistente,1
Atendimento péssimo,0
Muito decepcionado,0
Produto maravilhoso,1
Muito insatisfeito,0
extremamente terrível qualidade,0
realmente produto ruim,0
Excelente qualidade,1
Produto incrível,1
Não recomendo,0
bastante material frágil,0
bastante superou minhas expectativas,1
Atendimento péssimo,0
Chegou em perfeito estado,1
bastante gostei muito do produto,1
terrivelmente produto quebrado,0
Muito insatisfeito,0
bastante não vale o preço,0
Material frágil,0
Produto sensacional,1
Chegou danificado,0
extremamente entrega rápida,1
muito não vale o preço,0
muito produto maravilhoso,1
extremamente chegou danificado,0
Atendimento excelente,1
Atendimento péssimo,0
Material frágil,0
Material frágil,0
bastante excelente custo benefício,1
Terrível qualidade,0
Péssima experiência,0
Dinheiro jogado fora,0
Excelente custo benefício,1
Material frágil,0
Experiência fantástica,1
Não vale o preço,0
realmente pior compra que fiz,0
terrivelmente atendimento horrível,0
muito funcionou perfeitamente,1
Material frágil,0
realmente atendimento péssimo,0
terrivelmente dinheiro jogado fora,0
bastante material resistente,1
bastante atendimento muito educado,1
extremamente material resistente,1
Atendimento péssimo,0
extremamente funcionou perfeitamente,1
realmente chegou danificado,0
muito pior compra que fiz,0
muito produto sensacional,1
Chegou em perfeito estado,1
Produto ruim,0
realmente terrível qualidade,0
Superou minhas expectativas,1
Recomendo para todos,1
Produto decepcionante,0
Produto quebrado,0
extremamente produto maravilhoso,1
terrivelmente material frágil,0
Atendimento horrível,0
Não vale o preço,0
extremamente compra excelente,1
Gostei muito do produto,1
Não recomendo,0
super funcionou perfeitamente,1
extremamente entrega rápida,1
extremamente excelente qualidade,1
Entrega rápida,1
extremamente veio com defeito,0
terrivelmente produto não funciona,0
extremamente material frágil,0
Produto de ótima qualidade,1
muito produto não funciona,0
Não vale o preço,0
Dinheiro jogado fora,0
Qualidade muito baixa,0
realmente funcionou perfeitamente,1
Pior compra que fiz,0
Ótima compra,1
bastante muito satisfeito,1
Produto sensacional,1
realmente recomendo para todos,1
Produto sensacional,1
Atendimento horrível,0
terrivelmente muito insatisfeito,0
super compra excelente,1
bastante compra excelente,1
realmente ótima compra,1
